Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet in PPP dollars [CoCA_PPP],Cost of a nutrient adequate diet in PPP dollars [CoNA_PPP],Cost of a healthy diet in PPP dollars [CoHD_PPP],Cost of fruits in PPP dollars [CoHD_f_PPP],Cost of vegetables in PPP dollars [CoHD_v_PPP],Cost of starchy staples in PPP dollars [CoHD_ss_PPP],Cost of animal source foods in PPP dollars [CoHD_asf_PPP],"Cost of legumes, nuts and seeds in PPP dollars [CoHD_lns_PPP]",Cost of fats and oils in PPP dollars [CoHD_of_PPP],Cost of an energy sufficient diet in local currency unit [CoCA_LCU],Cost of a nutrient adequate diet in local currency unit [CoNA_LCU],Cost of a healthy diet in local currency unit [CoHD_LCU],Cost of fruits in local currency unit [CoHD_f_LCU],Cost of vegetables in local currency unit [CoHD_v_LCU],Cost of starchy staples in local currency unit [CoHD_ss_LCU],Cost of animal source foods in local currency unit [CoHD_asf_LCU],"Cost of legumes, nuts and seeds in local currency unit [CoHD_lns_LCU]",Cost of fats and oils in local currency unit [CoHD_of_LCU],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 4.0,FPN 4.0,Slovak Republic,SVK,2018,YR2018,..,..,2.53,..,..,..,..,..,..,..,..,1.58,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.23,..,..,..,..,..,18.3,..,..,1,5443232
Food Prices for Nutrition 4.0,FPN 4.0,Slovak Republic,SVK,2019,YR2019,..,..,2.69,..,..,..,..,..,..,..,..,1.64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.24,..,..,..,..,..,15.3,..,..,0.8,5450626
Food Prices for Nutrition 4.0,FPN 4.0,Slovak Republic,SVK,2020,YR2020,..,..,2.89,..,..,..,..,..,..,..,..,1.69,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.26,..,..,..,..,..,19.4,..,..,1.1,5455024
Food Prices for Nutrition 4.0,FPN 4.0,Slovak Republic,SVK,2021,YR2021,0.4,2.21,3.01,0.65,0.93,0.37,0.63,0.34,0.09,0.23,1.26,1.72,0.37,0.53,0.21,0.36,0.19,0.05,7.59,0.22,0.31,0.12,0.21,0.11,0.03,1.74,2.49,1.68,0.9,0.25,0.04,0.2,0.27,0.05,0.26,0.35,13,17,18.7,0.7,0.9,1,5442759
Food Prices for Nutrition 4.0,FPN 4.0,Slovak Republic,SVK,2022,YR2022,..,..,3.54,..,..,..,..,..,..,..,..,2.03,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.32,..,..,..,..,..,16.9,..,..,0.9,5473197
Food Prices for Nutrition 4.0,FPN 4.0,Slovak Republic,SVK,2023,YR2023,..,..,4.14,..,..,..,..,..,..,..,..,2.39,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.37,..,..,..,..,..,16.9,..,..,0.9,5518055
Food Prices for Nutrition 4.0,FPN 4.0,Slovak Republic,SVK,2024,YR2024,..,..,4.25,..,..,..,..,..,..,..,..,2.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.38,..,..,..,..,..,15.7,..,..,0.9,5506760
Food Prices for Nutrition 4.0,FPN 4.0,Slovenia,SVN,2017,YR2017,..,..,2.6,..,..,..,..,..,..,..,..,1.69,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.23,..,..,..,..,..,3.7,..,..,0.1,2062410
Food Prices for Nutrition 4.0,FPN 4.0,Slovenia,SVN,2018,YR2018,..,..,2.7,..,..,..,..,..,..,..,..,1.73,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.24,..,..,..,..,..,2.6,..,..,0.1,2069481
Food Prices for Nutrition 4.0,FPN 4.0,Slovenia,SVN,2019,YR2019,..,..,2.85,..,..,..,..,..,..,..,..,1.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,2.2,..,..,0,2083439
Food Prices for Nutrition 4.0,FPN 4.0,Slovenia,SVN,2020,YR2020,..,..,2.98,..,..,..,..,..,..,..,..,1.82,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27,..,..,..,..,..,1.9,..,..,0,2102419
Food Prices for Nutrition 4.0,FPN 4.0,Slovenia,SVN,2021,YR2021,0.49,2.22,3.01,0.74,0.76,0.31,0.73,0.39,0.08,0.29,1.34,1.82,0.45,0.46,0.19,0.44,0.23,0.05,6.21,0.25,0.25,0.1,0.24,0.13,0.03,2.39,2.44,2.36,1.25,0.25,0.04,0.2,0.27,0.06,0.29,0.4,0.8,1.3,1.6,0,0,0,2113494
Food Prices for Nutrition 4.0,FPN 4.0,Slovenia,SVN,2022,YR2022,..,..,3.42,..,..,..,..,..,..,..,..,2.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.31,..,..,..,..,..,1.4,..,..,0,2115228
Food Prices for Nutrition 4.0,FPN 4.0,Slovenia,SVN,2023,YR2023,..,..,3.72,..,..,..,..,..,..,..,..,2.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,1.4,..,..,0,2118396
Food Prices for Nutrition 4.0,FPN 4.0,Slovenia,SVN,2024,YR2024,..,..,3.81,..,..,..,..,..,..,..,..,2.32,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,..,..,..,..,..,1.2,..,..,0,2118697
Food Prices for Nutrition 4.0,FPN 4.0,"Somalia, Fed. Rep.",SOM,2017,YR2017,..,..,3.61,..,..,..,..,..,..,..,..,1.36,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.67,..,..,..,..,..,..,..,..,..,14916629
Food Prices for Nutrition 4.0,FPN 4.0,"Somalia, Fed. Rep.",SOM,2018,YR2018,..,..,3.88,..,..,..,..,..,..,..,..,1.46,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.88,..,..,..,..,..,..,..,..,..,15452487
Food Prices for Nutrition 4.0,FPN 4.0,"Somalia, Fed. Rep.",SOM,2019,YR2019,..,..,3.98,..,..,..,..,..,..,..,..,1.55,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.95,..,..,..,..,..,..,..,..,..,16030971
Food Prices for Nutrition 4.0,FPN 4.0,"Somalia, Fed. Rep.",SOM,2020,YR2020,..,..,3.93,..,..,..,..,..,..,..,..,1.58,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.91,..,..,..,..,..,..,..,..,..,16651191
Food Prices for Nutrition 4.0,FPN 4.0,"Somalia, Fed. Rep.",SOM,2021,YR2021,1.39,2.74,4.08,0.36,0.78,0.7,1.28,0.72,0.23,0.55,1.09,1.63,0.14,0.31,0.28,0.51,0.29,0.09,2.94,0.09,0.19,0.17,0.31,0.18,0.06,0.52,1.11,1.82,1.03,0.33,1.03,2.03,3.02,0.92,1.82,2.71,..,..,..,..,..,..,17271431
Food Prices for Nutrition 4.0,FPN 4.0,"Somalia, Fed. Rep.",SOM,2022,YR2022,..,..,4.65,..,..,..,..,..,..,..,..,1.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.44,..,..,..,..,..,..,..,..,..,17801897
Food Prices for Nutrition 4.0,FPN 4.0,"Somalia, Fed. Rep.",SOM,2023,YR2023,..,..,4.65,..,..,..,..,..,..,..,..,1.87,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.45,..,..,..,..,..,..,..,..,..,18358615
Food Prices for Nutrition 4.0,FPN 4.0,"Somalia, Fed. Rep.",SOM,2024,YR2024,..,..,4.47,..,..,..,..,..,..,..,..,1.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.32,..,..,..,..,..,..,..,..,..,19009151
Food Prices for Nutrition 4.0,FPN 4.0,South Africa,ZAF,2017,YR2017,..,..,3,..,..,..,..,..,..,..,..,19.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.95,..,..,..,..,..,60.8,..,..,35,57635162
Food Prices for Nutrition 4.0,FPN 4.0,South Africa,ZAF,2018,YR2018,..,..,2.94,..,..,..,..,..,..,..,..,20.59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.93,..,..,..,..,..,60.2,..,..,35.3,58613001
Food Prices for Nutrition 4.0,FPN 4.0,South Africa,ZAF,2019,YR2019,..,..,2.94,..,..,..,..,..,..,..,..,21.32,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.94,..,..,..,..,..,60.2,..,..,35.9,59587885
Food Prices for Nutrition 4.0,FPN 4.0,South Africa,ZAF,2020,YR2020,..,..,3,..,..,..,..,..,..,..,..,22.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.95,..,..,..,..,..,61.8,..,..,37.4,60562381
Food Prices for Nutrition 4.0,FPN 4.0,South Africa,ZAF,2021,YR2021,0.82,1.95,3.14,0.61,0.63,0.52,1,0.29,0.09,6.14,14.65,23.61,4.62,4.74,3.89,7.51,2.15,0.71,3.85,0.2,0.2,0.17,0.32,0.09,0.03,1.19,1.22,1.93,0.55,0.18,0.26,0.62,1,0.25,0.61,0.98,47.6,55.3,61.1,29.3,34,37.6,61502603
Food Prices for Nutrition 4.0,FPN 4.0,South Africa,ZAF,2022,YR2022,..,..,3.46,..,..,..,..,..,..,..,..,25.79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,..,..,..,..,..,61,..,..,38.1,62378410
Food Prices for Nutrition 4.0,FPN 4.0,South Africa,ZAF,2023,YR2023,..,..,3.76,..,..,..,..,..,..,..,..,28.59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,..,..,..,61.7,..,..,39,63212384
Food Prices for Nutrition 4.0,FPN 4.0,South Africa,ZAF,2024,YR2024,..,..,3.89,..,..,..,..,..,..,..,..,29.94,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.23,..,..,..,..,..,61.7,..,..,39.5,64007187
Food Prices for Nutrition 4.0,FPN 4.0,South Asia,SAS,2017,YR2017,..,..,3.43,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.58,..,..,..,..,..,59,..,..,928.9,..
Food Prices for Nutrition 4.0,FPN 4.0,South Asia,SAS,2018,YR2018,..,..,3.48,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.61,..,..,..,..,..,54.5,..,..,866.6,..
Food Prices for Nutrition 4.0,FPN 4.0,South Asia,SAS,2019,YR2019,..,..,3.53,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.64,..,..,..,..,..,52,..,..,835.4,..
Food Prices for Nutrition 4.0,FPN 4.0,South Asia,SAS,2020,YR2020,..,..,3.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.72,..,..,..,..,..,54.9,..,..,890.6,..
Food Prices for Nutrition 4.0,FPN 4.0,South Asia,SAS,2021,YR2021,0.88,2.52,3.94,0.88,0.88,0.47,1.11,0.35,0.25,..,..,..,..,..,..,..,..,..,5.44,0.22,0.23,0.12,0.28,0.09,0.06,2.3,2.49,2.75,0.96,0.55,0.42,1.16,1.83,0.15,0.46,0.7,5.6,31.3,51,92.1,511.5,833.6,..
Food Prices for Nutrition 4.0,FPN 4.0,South Asia,SAS,2022,YR2022,..,..,4.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,..,..,..,..,46.8,..,..,772.2,..
Food Prices for Nutrition 4.0,FPN 4.0,South Asia,SAS,2023,YR2023,..,..,4.46,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.07,..,..,..,..,..,42.9,..,..,713.1,..
Food Prices for Nutrition 4.0,FPN 4.0,South Asia,SAS,2024,YR2024,..,..,4.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.18,..,..,..,..,..,40.5,..,..,679.4,..
Food Prices for Nutrition 4.0,FPN 4.0,South Sudan,SSD,2017,YR2017,..,..,3.13,..,..,..,..,..,..,..,..,115.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.32,..,..,..,..,..,89,..,..,9.1,10259154
Food Prices for Nutrition 4.0,FPN 4.0,South Sudan,SSD,2018,YR2018,..,..,3.11,..,..,..,..,..,..,..,..,197.53,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.31,..,..,..,..,..,88.3,..,..,8.9,10122977
Food Prices for Nutrition 4.0,FPN 4.0,South Sudan,SSD,2019,YR2019,..,..,3.55,..,..,..,..,..,..,..,..,407.65,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.63,..,..,..,..,..,90.4,..,..,9.4,10423384
Food Prices for Nutrition 4.0,FPN 4.0,South Sudan,SSD,2020,YR2020,..,..,3.41,..,..,..,..,..,..,..,..,507.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.53,..,..,..,..,..,91,..,..,9.7,10698467
Food Prices for Nutrition 4.0,FPN 4.0,South Sudan,SSD,2021,YR2021,1.17,2.99,3.9,0.4,0.69,0.71,1.46,0.45,0.2,184.68,471.82,616.74,62.94,108.92,112.14,230.46,70.59,31.69,3.34,0.1,0.18,0.18,0.37,0.12,0.05,0.56,0.97,2.05,0.63,0.28,0.87,2.21,2.89,0.26,0.66,0.87,65.3,87.7,91.9,7.1,9.5,10,10865780
Food Prices for Nutrition 4.0,FPN 4.0,South Sudan,SSD,2022,YR2022,..,..,4.09,..,..,..,..,..,..,..,..,559.89,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.03,..,..,..,..,..,91.8,..,..,10.1,11021177
Food Prices for Nutrition 4.0,FPN 4.0,South Sudan,SSD,2023,YR2023,..,..,5.33,..,..,..,..,..,..,..,..,721.24,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.95,..,..,..,..,..,94.2,..,..,10.8,11483374
Food Prices for Nutrition 4.0,FPN 4.0,South Sudan,SSD,2024,YR2024,..,..,8.39,..,..,..,..,..,..,..,..,1992.19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.22,..,..,..,..,..,97.8,..,..,11.7,11943408
Food Prices for Nutrition 4.0,FPN 4.0,Spain,ESP,2017,YR2017,..,..,2.53,..,..,..,..,..,..,..,..,1.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.23,..,..,..,..,..,10.9,..,..,5.1,46868596
Food Prices for Nutrition 4.0,FPN 4.0,Spain,ESP,2018,YR2018,..,..,2.57,..,..,..,..,..,..,..,..,1.83,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.23,..,..,..,..,..,10.8,..,..,5.1,47092821
Food Prices for Nutrition 4.0,FPN 4.0,Spain,ESP,2019,YR2019,..,..,2.71,..,..,..,..,..,..,..,..,1.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.24,..,..,..,..,..,10.2,..,..,4.8,47435119
Food Prices for Nutrition 4.0,FPN 4.0,Spain,ESP,2020,YR2020,..,..,2.75,..,..,..,..,..,..,..,..,1.89,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,10.6,..,..,5.1,47679489
Food Prices for Nutrition 4.0,FPN 4.0,Spain,ESP,2021,YR2021,0.47,1.79,2.94,0.84,0.8,0.31,0.68,0.23,0.08,0.3,1.17,1.93,0.55,0.52,0.21,0.45,0.15,0.05,6.31,0.29,0.27,0.11,0.23,0.08,0.03,2.68,2.54,2.18,0.73,0.24,0.04,0.16,0.26,0.06,0.23,0.38,7,8.2,9.3,3.3,3.9,4.4,47735664
Food Prices for Nutrition 4.0,FPN 4.0,Spain,ESP,2022,YR2022,..,..,3.4,..,..,..,..,..,..,..,..,2.15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,8.7,..,..,4.2,47828382
Food Prices for Nutrition 4.0,FPN 4.0,Spain,ESP,2023,YR2023,..,..,3.83,..,..,..,..,..,..,..,..,2.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,..,..,..,..,..,8.6,..,..,4.1,47911579
Food Prices for Nutrition 4.0,FPN 4.0,Spain,ESP,2024,YR2024,..,..,3.98,..,..,..,..,..,..,..,..,2.49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.36,..,..,..,..,..,8.4,..,..,4,47910526
Food Prices for Nutrition 4.0,FPN 4.0,Sri Lanka,LKA,2017,YR2017,..,..,3.86,..,..,..,..,..,..,..,..,198.78,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.89,..,..,..,..,..,36,..,..,7.9,22087522
Food Prices for Nutrition 4.0,FPN 4.0,Sri Lanka,LKA,2018,YR2018,..,..,3.81,..,..,..,..,..,..,..,..,198.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.87,..,..,..,..,..,32.5,..,..,7.2,22253118
Food Prices for Nutrition 4.0,FPN 4.0,Sri Lanka,LKA,2019,YR2019,..,..,3.7,..,..,..,..,..,..,..,..,199.62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.81,..,..,..,..,..,31.9,..,..,7.2,22410552
Food Prices for Nutrition 4.0,FPN 4.0,Sri Lanka,LKA,2020,YR2020,..,..,3.66,..,..,..,..,..,..,..,..,224.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.79,..,..,..,..,..,36.8,..,..,8.3,22561807
Food Prices for Nutrition 4.0,FPN 4.0,Sri Lanka,LKA,2021,YR2021,1.08,2.47,4.27,1.01,0.97,0.55,1.05,0.25,0.44,63.18,144.03,248.81,58.8,56.35,32.23,61.17,14.44,25.83,3.94,0.24,0.23,0.13,0.25,0.06,0.1,1.82,1.75,1.9,0.45,0.8,0.53,1.21,2.09,0.16,0.35,0.61,3.1,15.7,37.5,0.7,3.6,8.5,22700372
Food Prices for Nutrition 4.0,FPN 4.0,Sri Lanka,LKA,2022,YR2022,..,..,4.87,..,..,..,..,..,..,..,..,393.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.39,..,..,..,..,..,44.6,..,..,10.2,22834965
Food Prices for Nutrition 4.0,FPN 4.0,Sri Lanka,LKA,2023,YR2023,..,..,4.89,..,..,..,..,..,..,..,..,442.27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.4,..,..,..,..,..,43.5,..,..,10,22971617
Food Prices for Nutrition 4.0,FPN 4.0,Sri Lanka,LKA,2024,YR2024,..,..,5.16,..,..,..,..,..,..,..,..,451.68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.53,..,..,..,..,..,42.9,..,..,9.9,23103565
Food Prices for Nutrition 4.0,FPN 4.0,St. Kitts and Nevis,KNA,2017,YR2017,..,..,3.37,..,..,..,..,..,..,..,..,8.54,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,..,..,47050
Food Prices for Nutrition 4.0,FPN 4.0,St. Kitts and Nevis,KNA,2018,YR2018,..,..,3.51,..,..,..,..,..,..,..,..,8.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.31,..,..,..,..,..,..,..,..,..,47008
Food Prices for Nutrition 4.0,FPN 4.0,St. Kitts and Nevis,KNA,2019,YR2019,..,..,3.65,..,..,..,..,..,..,..,..,8.92,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,..,..,..,..,46952
Food Prices for Nutrition 4.0,FPN 4.0,St. Kitts and Nevis,KNA,2020,YR2020,..,..,3.81,..,..,..,..,..,..,..,..,8.95,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,..,..,..,..,..,..,..,..,..,46870
Food Prices for Nutrition 4.0,FPN 4.0,St. Kitts and Nevis,KNA,2021,YR2021,0.94,3.08,3.95,0.9,1.16,0.63,0.68,0.4,0.19,2.12,7,8.96,2.05,2.62,1.42,1.55,0.91,0.42,4.22,0.23,0.29,0.16,0.17,0.1,0.05,1.44,1.85,1.09,0.64,0.3,0.08,0.28,0.35,0.13,0.43,0.55,..,..,..,..,..,..,46763
Food Prices for Nutrition 4.0,FPN 4.0,St. Kitts and Nevis,KNA,2022,YR2022,..,..,4.59,..,..,..,..,..,..,..,..,9.89,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.41,..,..,..,..,..,..,..,..,..,46709
Food Prices for Nutrition 4.0,FPN 4.0,St. Kitts and Nevis,KNA,2023,YR2023,..,..,4.84,..,..,..,..,..,..,..,..,10.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.43,..,..,..,..,..,..,..,..,..,46758
Food Prices for Nutrition 4.0,FPN 4.0,St. Kitts and Nevis,KNA,2024,YR2024,..,..,5.04,..,..,..,..,..,..,..,..,10.63,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.45,..,..,..,..,..,..,..,..,..,46843
Food Prices for Nutrition 4.0,FPN 4.0,St. Lucia,LCA,2017,YR2017,..,..,3.6,..,..,..,..,..,..,..,..,7.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.14,..,..,..,..,..,8.6,..,..,0,176342
Food Prices for Nutrition 4.0,FPN 4.0,St. Lucia,LCA,2018,YR2018,..,..,3.8,..,..,..,..,..,..,..,..,7.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.21,..,..,..,..,..,8.6,..,..,0,177017
Food Prices for Nutrition 4.0,FPN 4.0,St. Lucia,LCA,2019,YR2019,..,..,4.03,..,..,..,..,..,..,..,..,7.58,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.28,..,..,..,..,..,8.6,..,..,0,177661
Food Prices for Nutrition 4.0,FPN 4.0,St. Lucia,LCA,2020,YR2020,..,..,4.41,..,..,..,..,..,..,..,..,7.52,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,..,..,..,13.2,..,..,0,178250
Food Prices for Nutrition 4.0,FPN 4.0,St. Lucia,LCA,2021,YR2021,1.23,2.85,4.57,0.6,1.28,0.95,1.1,0.38,0.27,2.02,4.68,7.51,0.99,2.1,1.56,1.8,0.63,0.44,3.71,0.13,0.28,0.21,0.24,0.08,0.06,0.63,1.34,1.15,0.4,0.28,0.39,0.9,1.45,0.17,0.4,0.64,4.7,7.8,10.3,0,0,0,178522
Food Prices for Nutrition 4.0,FPN 4.0,St. Lucia,LCA,2022,YR2022,..,..,4.9,..,..,..,..,..,..,..,..,7.93,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.56,..,..,..,..,..,8.6,..,..,0,178781
Food Prices for Nutrition 4.0,FPN 4.0,St. Lucia,LCA,2023,YR2023,..,..,5.22,..,..,..,..,..,..,..,..,8.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.66,..,..,..,..,..,8.6,..,..,0,179285
Food Prices for Nutrition 4.0,FPN 4.0,St. Lucia,LCA,2024,YR2024,..,..,5.16,..,..,..,..,..,..,..,..,8.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.64,..,..,..,..,..,8.4,..,..,0,179744
Food Prices for Nutrition 4.0,FPN 4.0,St. Vincent and the Grenadines,VCT,2017,YR2017,..,..,4.3,..,..,..,..,..,..,..,..,7.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.37,..,..,..,..,..,..,..,..,..,105663
Food Prices for Nutrition 4.0,FPN 4.0,St. Vincent and the Grenadines,VCT,2018,YR2018,..,..,4.44,..,..,..,..,..,..,..,..,8.03,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.41,..,..,..,..,..,..,..,..,..,104926
Food Prices for Nutrition 4.0,FPN 4.0,St. Vincent and the Grenadines,VCT,2019,YR2019,..,..,4.48,..,..,..,..,..,..,..,..,8.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.42,..,..,..,..,..,..,..,..,..,104167
Food Prices for Nutrition 4.0,FPN 4.0,St. Vincent and the Grenadines,VCT,2020,YR2020,..,..,4.65,..,..,..,..,..,..,..,..,8.22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.48,..,..,..,..,..,..,..,..,..,103526
Food Prices for Nutrition 4.0,FPN 4.0,St. Vincent and the Grenadines,VCT,2021,YR2021,1.38,3.8,4.87,0.72,1.53,0.86,0.79,0.71,0.26,2.39,6.57,8.41,1.25,2.64,1.48,1.37,1.22,0.46,3.52,0.15,0.31,0.18,0.16,0.14,0.05,0.84,1.79,0.93,0.82,0.31,0.44,1.21,1.55,0.2,0.55,0.71,..,..,..,..,..,..,102841
